,State/Province,Postcode,Store Number,City,Country,Population,Median Age,Household Income,Per Capita Income,Latitude,Longitude,Poverty Count,Race White,Race African American,Race American Indian,Race Asian,Race Pacific Islander,Race Two or More,ageCategory,ageBinned,householdCategory,householdBinned
30,AL,35209.0,3,Homewood,US,29463.0,29.4,49739.0,31286.0,33.47,-86.77,5363.0,20355.0,7772.0,43.0,565.0,0.0,621.0,2,"(18, 35]",1,"(0, 60000]"
31,AL,35210.0,1,Birmingham,US,13763.0,47.3,44368.0,31500.0,33.53,-86.72,2673.0,8586.0,4356.0,45.0,156.0,0.0,296.0,3,"(35, 55]",1,"(0, 60000]"
32,AL,35212.0,2,Birmingham,US,13372.0,32.4,27265.0,18203.0,33.56,-86.75,5218.0,2855.0,9875.0,76.0,187.0,5.0,442.0,2,"(18, 35]",1,"(0, 60000]"
33,AL,35216.0,2,Vestavia Hills,US,36098.0,33.9,52930.0,36208.0,33.45,-86.79,4059.0,24349.0,7068.0,203.0,1762.0,0.0,1154.0,2,"(18, 35]",2,"(0, 60000]"
34,AL,35223.0,2,Mountain Brook,US,10660.0,44.1,117371.0,64130.0,33.51,-86.77,357.0,10238.0,129.0,20.0,213.0,25.0,32.0,3,"(35, 55]",3,"(60000, 120000]"
35,AL,35226.0,1,Hoover,US,34514.0,37.4,89375.0,41337.0,33.4,-86.83,1107.0,28210.0,3449.0,105.0,1547.0,0.0,855.0,3,"(35, 55]",2,"(60000, 120000]"
36,AL,35233.0,2,Birmingham,US,1393.0,28.3,51389.0,31321.0,33.51,-86.8,413.0,747.0,483.0,0.0,150.0,0.0,26.0,2,"(18, 35]",2,"(0, 60000]"
37,AL,35235.0,2,Trussville,US,18730.0,38.3,50047.0,25136.0,33.6,-86.64,1903.0,8256.0,10045.0,57.0,212.0,4.0,140.0,3,"(35, 55]",2,"(0, 60000]"
38,AL,35242.0,3,Hoover,US,52466.0,39.7,83090.0,47314.0,33.43,-86.67,3371.0,43759.0,4915.0,44.0,2033.0,0.0,1758.0,3,"(35, 55]",2,"(60000, 120000]"
39,AL,35243.0,1,Vestavia Hills,US,16870.0,39.9,71042.0,50063.0,33.46,-86.74,1069.0,15466.0,815.0,7.0,353.0,0.0,110.0,3,"(35, 55]",2,"(60000, 120000]"
40,AL,35244.0,4,Hoover,US,33470.0,37.2,81796.0,39884.0,33.38,-86.81,1203.0,24436.0,5180.0,0.0,2641.0,27.0,1288.0,3,"(35, 55]",2,"(60000, 120000]"
41,AL,35401.0,1,Tuscaloosa,US,36746.0,22.6,24143.0,11843.0,33.21,-87.55,10096.0,16123.0,19145.0,89.0,604.0,0.0,953.0,2,"(18, 35]",1,"(0, 60000]"
42,AL,35404.0,2,Tuscaloosa,US,21397.0,28.0,39439.0,20057.0,33.2,-87.51,6693.0,11764.0,8409.0,20.0,614.0,11.0,577.0,2,"(18, 35]",1,"(0, 60000]"
43,AL,35487.0,1,Tuscaloosa,US,0.0,0.0,0.0,0.0,33.21,-87.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,
44,AL,35601.0,1,Decatur,US,33493.0,36.2,36506.0,20416.0,34.59,-86.96,8287.0,22003.0,9117.0,59.0,223.0,93.0,1100.0,3,"(35, 55]",1,"(0, 60000]"
45,AL,35603.0,1,Decatur,US,31058.0,42.3,52456.0,30444.0,34.56,-87.0,4290.0,25729.0,3512.0,360.0,310.0,0.0,2092.0,3,"(35, 55]",2,"(0, 60000]"
46,AL,35611.0,1,Athens,US,25405.0,40.9,37358.0,23556.0,34.78,-86.95,4508.0,19338.0,4329.0,101.0,112.0,38.0,1059.0,3,"(35, 55]",1,"(0, 60000]"
47,AL,35630.0,1,Florence,US,33352.0,34.8,31331.0,20284.0,34.84,-87.64,9087.0,24970.0,6935.0,175.0,272.0,9.0,1605.0,2,"(18, 35]",1,"(0, 60000]"
48,AL,35632.0,1,Florence,US,0.0,0.0,0.0,0.0,34.8,-87.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1,
49,AL,35758.0,3,Madison,US,44472.0,37.6,84691.0,41796.0,34.75,-86.74,3230.0,33536.0,6614.0,324.0,2375.0,125.0,2605.0,3,"(35, 55]",2,"(60000, 120000]"
50,AL,35801.0,3,Huntsville,US,22813.0,43.6,59904.0,38584.0,34.77,-86.58,2236.0,19556.0,2388.0,80.0,292.0,23.0,754.0,3,"(35, 55]",2,"(0, 60000]"
51,AL,35802.0,2,Huntsville,US,21349.0,45.2,62741.0,41482.0,34.69,-86.55,2256.0,17783.0,2236.0,168.0,602.0,0.0,964.0,3,"(35, 55]",2,"(60000, 120000]"
52,AL,35806.0,2,Huntsville,US,20629.0,35.9,69620.0,38743.0,34.75,-86.68,2552.0,12292.0,6329.0,43.0,1059.0,0.0,1346.0,3,"(35, 55]",2,"(60000, 120000]"
53,AL,35904.0,1,Gadsden,US,14274.0,40.7,31988.0,17680.0,33.99,-86.08,3551.0,12234.0,1388.0,52.0,76.0,0.0,836.0,3,"(35, 55]",1,"(0, 60000]"
54,AL,36066.0,2,Prattville,US,19243.0,35.6,55436.0,27300.0,32.47,-86.39,1620.0,14561.0,3463.0,69.0,437.0,0.0,486.0,2,"(35, 55]",2,"(0, 60000]"
55,AL,36106.0,2,Montgomery,US,15224.0,34.5,47633.0,30112.0,32.36,-86.22,2931.0,7405.0,7074.0,111.0,531.0,0.0,48.0,2,"(18, 35]",1,"(0, 60000]"
56,AL,36116.0,1,Montgomery,US,44196.0,31.3,42191.0,21852.0,32.34,-86.18,11008.0,8057.0,33466.0,0.0,646.0,9.0,1286.0,2,"(18, 35]",1,"(0, 60000]"
57,AL,36117.0,3,Montgomery,US,52232.0,34.5,61795.0,33184.0,32.38,-86.16,6364.0,25069.0,23090.0,170.0,2968.0,0.0,1410.0,2,"(18, 35]",2,"(60000, 120000]"
58,AL,36203.0,2,Oxford,US,18138.0,41.2,51362.0,23991.0,33.61,-85.78,1883.0,14587.0,2514.0,42.0,307.0,0.0,732.0,3,"(35, 55]",2,"(0, 60000]"
59,AL,36303.0,1,Dothan,US,31316.0,38.2,39892.0,24150.0,31.27,-85.45,6512.0,17244.0,12860.0,139.0,176.0,3.0,1215.0,3,"(35, 55]",1,"(0, 60000]"
60,AL,36526.0,1,Daphne,US,31420.0,36.3,63312.0,29573.0,30.65,-87.91,3040.0,25774.0,4683.0,0.0,471.0,0.0,656.0,3,"(35, 55]",2,"(60000, 120000]"
61,AL,36527.0,1,Spanish Fort,US,13597.0,40.6,82485.0,37820.0,30.67,-87.85,743.0,11786.0,962.0,36.0,25.0,0.0,597.0,3,"(35, 55]",2,"(60000, 120000]"
62,AL,36535.0,1,Foley,US,27236.0,43.8,42433.0,23769.0,30.38,-87.68,4183.0,22351.0,3748.0,175.0,61.0,0.0,752.0,3,"(35, 55]",1,"(0, 60000]"
63,AL,36542.0,1,Gulf Shores,US,13315.0,48.1,47121.0,31042.0,30.3,-87.68,2116.0,12364.0,3.0,62.0,250.0,0.0,1248.0,3,"(35, 55]",1,"(0, 60000]"
64,AL,36561.0,1,Orange Beach,US,6035.0,55.6,58218.0,37903.0,30.27,-87.59,630.0,5816.0,24.0,0.0,7.0,0.0,314.0,4,"(55, 70]",2,"(0, 60000]"
65,AL,36604.0,1,Mobile,US,10046.0,39.8,44336.0,27355.0,30.68,-88.07,2243.0,5302.0,4526.0,13.0,58.0,16.0,208.0,3,"(35, 55]",1,"(0, 60000]"
