State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
MD,WHITEFORD,21160,15,73523,37,2655,2586,257
ND,BEULAH,58523,49,73523,44.9,3701,3675,13
NH,NASHUA,03063,46,73514,37.1,16026,14099,29
NJ,ROCHELLE PARK,07662,18,73512,44.3,5624,4537,261
ND,SOUTH HEART,58655,49,73500,39.9,517,499,13
OR,WELCHES,97067,17,73500,52.4,2540,2482,359
IL,FREEBURG,62243,5,73482,46.4,5685,5551,575
PA,SEVEN VALLEYS,17360,11,73472,40.4,6040,5748,357
MD,REISTERSTOWN,21136,15,73468,40,33328,22896,257
CT,STAMFORD,06906,30,73438,35.5,8887,5843,123
NJ,SEWAREN,07077,18,73421,40.9,2530,1895,261
MO,WESTON,64098,21,73421,46.7,2811,2728,188
FL,LOXAHATCHEE,33470,3,73416,39.9,26455,21581,694
WI,BELDENVILLE,54003,22,73409,47.9,888,885,145
IA,BERNARD,52032,32,73393,39.6,1541,1527,89
WI,GREEN BAY,54313,22,73390,41,37466,34957,145
NJ,BAYVILLE,08721,18,73384,41.4,20486,19022,261
GA,WINSTON,30187,10,73377,42.2,8880,7124,326
MI,ARMADA,48005,14,73348,44.3,5433,5305,283
MN,PLATO,55370,20,73333,47.4,843,829,184
NY,PLEASANT VALLEY,12569,4,73324,44,10027,9149,645
PA,FRYBURG,16326,11,73304,35.4,462,454,357
CA,GARDEN VALLEY,95633,1,73301,53.8,2933,2699,2821
WI,BLUE MOUNDS,53517,22,73289,41.6,1753,1667,145
WV,EXCHANGE,26619,47,73261,40.2,462,462,25
ME,PORT CLYDE,04855,48,73250,48.9,322,309,30
MO,FORISTELL,63348,21,73250,43.9,6600,6433,188
IL,GARDEN PRAIRIE,61038,5,73237,53.2,1003,1003,575
VT,SOUTH HERO,05486,51,73225,50.5,1578,1441,8
HI,PAIA,96779,31,73214,37.9,2998,1591,99
RI,GREENVILLE,02828,50,73214,48.7,7492,7191,27
OH,MARTIN,43445,7,73214,43.8,1225,1092,377
AK,DELTA JUNCTION,99737,41,73205,35.6,5005,4505,49
NE,UTICA,68456,38,73200,45.6,1110,1092,58
TX,MANCHACA,78652,2,73194,36.6,5355,4608,1042
HI,KULA,96790,31,73167,46.4,9581,5146,99
NH,MOULTONBOROUGH,03254,46,73162,54,4040,3953,29
TX,PANHANDLE,79068,2,73148,36.5,3220,3086,1042
CO,HASTY,81044,13,73125,39.1,331,330,481
IL,ESMOND,60129,5,73125,38.3,163,163,575
PA,NINEVEH,15353,11,73125,49.5,26,26,357
NJ,TOMS RIVER,08753,18,73116,40.4,63357,57564,261
MI,BERKLEY,48072,14,73111,37.7,15178,14268,283
NJ,WHARTON,07885,18,73103,38.6,10701,7223,261
ME,FREEPORT,04032,48,73072,45.6,8127,7717,30
MA,AUBURN,01501,23,73070,44.7,16208,15432,273
LA,ANGOLA,70712,28,73068,43.1,3852,1242,84
IN,GREENVILLE,47124,16,73066,38.9,4190,4081,221
OH,MOUNT PERRY,43760,7,73066,42.1,2266,2146,377
NJ,VINELAND,08361,18,73060,43.1,18431,14868,261
MS,HOLLY BLUFF,39088,39,73056,48.1,183,183,32
NY,SHRUB OAK,10588,4,73054,50.1,2723,2216,645
MA,MONTAGUE,01351,23,73051,46.4,2212,2125,273
MD,RANDALLSTOWN,21133,15,73043,39.8,32182,4638,257
SD,HARRISON,57344,43,73036,53.2,199,190,25
VA,REVA,22735,9,73024,39.8,2704,1867,432
TX,ROUND MOUNTAIN,78663,2,73019,44.4,750,616,1042
MO,DEARBORN,64439,21,73015,38.9,1701,1460,188
