State/Province,Postcode,Starbucks Count,City,Country,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Cafe Count
AR,72032,3,Conway,US,35.11,-92.39,32534,32.7,45840,22494,0
AR,72035,1,Conway,US,35.08,-92.45,1523,19.5,0,2503,17
AR,72076,1,Jacksonville,US,34.89,-92.11,39359,34.4,42089,20288,4
AR,72099,1,"Little Rock,",US,34.9,-92.15,662,21.4,0,20718,1
AR,72113,1,Maumelle,US,34.85,-92.4,22999,33.9,60558,33655,0
AR,72116,2,North Little Rock,US,34.82,-92.23,21920,41.0,59544,34436,5
AR,72143,1,Searcy,US,35.25,-91.69,36782,31.3,45269,23770,2
AR,72149,1,Searcy,US,35.25,-91.73,0,0.0,0,0,12
AR,72201,2,Little Rock,US,34.75,-92.27,888,51.8,67441,88974,23
AR,72202,2,Little Rock,US,34.73,-92.22,10905,38.4,31498,25664,0
AR,72205,3,Little Rock,US,34.75,-92.34,23798,34.9,50212,31119,10
AR,72207,2,Little Rock,US,34.77,-92.34,10092,40.6,64129,53155,8
AR,72209,1,Little Rock,US,34.66,-92.41,30592,30.3,28943,14640,2
AR,72211,2,Little Rock,US,34.75,-92.4,23415,33.7,63772,33276,17
AR,72212,1,Little Rock,US,34.77,-92.4,13181,42.6,95276,46787,12
AR,72223,2,Little Rock,US,34.8,-92.42,22139,39.8,90266,52296,2
AR,72227,1,Little Rock,US,34.76,-92.38,11683,38.9,61182,37713,15
AR,72401,4,Jonesboro,US,35.84,-90.67,56614,32.0,36620,20042,9
AR,72653,1,Mountain Home,US,36.35,-92.37,27912,52.1,36834,23824,3
AR,72701,2,Fayetteville,US,36.07,-94.18,41869,26.9,37610,24224,21
AR,72703,1,Fayetteville,US,36.12,-94.15,30718,31.0,38741,33529,8
AR,72704,1,Fayetteville,US,36.08,-94.21,23827,32.0,54219,28299,1
AR,72712,2,Bentonville,US,36.36,-94.2,46387,33.8,72369,36136,15
AR,72719,1,Bentonville,US,36.36,-94.25,9988,28.9,56109,23349,1
AR,72756,1,Rogers,US,36.33,-94.18,39811,35.2,46344,24155,10
AR,72758,3,Rogers,US,36.31,-94.15,38516,32.1,61311,32112,2
AR,72762,1,Springdale,US,36.18,-94.18,36261,35.7,57196,27354,6
AR,72802,1,Russellville,US,35.28,-93.11,21052,41.3,47532,23814,3
AR,72903,2,Ft. Smith,US,35.36,-94.36,26841,40.1,45125,31304,8
AR,72913,1,Ft. Smith,US,35.35,-94.35,0,0.0,0,0,8
AR,72956,1,Van Buren,US,35.47,-94.36,33117,38.0,40266,21356,3
AZ,85003,3,Phoenix,US,33.47,-112.07,9479,37.3,41038,30082,46
AZ,85004,4,Phoenix,US,33.47,-112.07,4610,35.9,30202,31399,46
AZ,85007,1,Phoenix,US,33.47,-112.08,14445,33.9,28380,18481,42
AZ,85008,1,Phoenix,US,33.48,-111.99,57086,28.9,33481,16078,15
AZ,85012,2,Phoenix,US,33.49,-112.07,6279,44.6,58108,45093,21
AZ,85013,5,Phoenix,US,33.52,-112.08,20228,39.2,50247,37333,16
AZ,85014,1,Phoenix,US,33.52,-112.06,25553,36.4,43369,27793,20
AZ,85015,2,Phoenix,US,33.52,-112.09,39441,30.6,29729,16367,15
AZ,85016,10,Phoenix,US,33.53,-112.01,34901,38.6,48864,33782,0
AZ,85017,1,Phoenix,US,33.52,-112.13,40048,26.7,28533,12285,11
AZ,85018,5,Phoenix,US,33.5,-111.96,37978,39.4,54176,42593,2
AZ,85020,1,Phoenix,US,33.54,-112.06,32670,43.3,46596,30253,10
AZ,85021,2,Phoenix,US,33.55,-112.1,38994,33.4,36190,25225,7
AZ,85022,7,Phoenix,US,33.64,-112.05,49112,38.9,46475,28430,10
AZ,85023,1,Phoenix,US,33.61,-112.1,31995,35.4,48935,27064,3
AZ,85026,1,Phoenix,US,33.44,-112.01,0,0.0,0,0,12
AZ,85027,3,Phoenix,US,33.67,-112.12,35834,34.9,51332,26253,4
AZ,85028,3,Phoenix,US,33.58,-111.98,19000,48.6,89010,46323,4
AZ,85029,2,Phoenix,US,33.6,-112.13,44964,35.2,41385,20561,4
AZ,85032,11,Phoenix,US,33.65,-111.98,72222,35.2,48036,24122,3
AZ,85033,1,Phoenix,US,33.51,-112.24,61118,25.9,33662,11046,3
AZ,85034,4,Phoenix,US,33.44,-112.0,4171,27.8,21488,11867,11
AZ,85035,2,Phoenix,US,33.48,-112.22,55354,24.2,31803,10959,6
AZ,85037,2,Phoenix,US,33.51,-112.25,48348,27.1,48335,16728,3
AZ,85041,1,Phoenix,US,33.38,-112.1,59188,28.8,42830,16587,2
AZ,85042,3,Phoenix,US,33.39,-112.03,41917,32.1,45127,20129,3
AZ,85044,4,Phoenix,US,33.35,-111.97,38608,39.1,70217,40149,9
AZ,85048,3,Phoenix,US,33.31,-111.98,34462,40.8,96041,45268,10
AZ,85050,3,Phoenix,US,33.68,-111.97,30083,37.9,78673,40181,5
AZ,85051,2,Phoenix,US,33.57,-112.13,42752,33.4,38098,17838,10
AZ,85053,3,Phoenix,US,33.64,-112.12,27982,37.1,44886,23289,10
